"","Species","GrowthHabit","GrowthHabitSub","Duration"
"1805","ZIEL2",NA,NA,NA
"1806","HESPE11",NA,NA,NA
"1807","HOMU","Non-Woody","Graminoid","Annual"
"1808","ZIGAD",NA,NA,NA
"1809","CAMAM9",NA,NA,NA
"1810","CRBAB",NA,NA,NA
"1811","BALSAMORHIZA",NA,NA,NA
"1812","ERAS2",NA,NA,NA
"1813","EROC5",NA,NA,NA
"1814","IPCOC3",NA,NA,NA
"1815","CHEDO",NA,NA,NA
"1816","CHENO",NA,NA,NA
"1817","COLT2",NA,NA,NA
"1818","ERHEZ",NA,NA,NA
"1819","PF1015",NA,NA,NA
"1820","POPR",NA,NA,NA
"1821","PF1017",NA,NA,NA
"1822","CEPI",NA,NA,NA
"1823","PF145","Non-woody","Forb","Perennial"
"1824","DEIN2",NA,NA,NA
"1825","PEWI",NA,NA,NA
"1826","PF83","Non-woody","Forb","Perennial"
"1827","LULA4",NA,NA,NA
"1828","CHWH","Non-Woody","Forb/Herb","Perennial"
"1829","ERCI","Non-Woody","Graminoid","Annual"
"1830","THFL3",NA,NA,NA
"1831","WYMO",NA,NA,NA
"1832","THLA",NA,NA,NA
"1833","ARCA13",NA,NA,NA
"1834","GAOR",NA,NA,NA
"1835","PHAU3",NA,NA,NA
"1836","ERSI3",NA,NA,NA
"1837","PHMI7",NA,NA,NA
"1838","PHHU",NA,NA,NA
"1839","ASBE3",NA,NA,NA
"1840","EPGL",NA,NA,NA
"1841","THMO6","Non-Woody","Forb/Herb","Perennial"
"1842","ARPAS2",NA,NA,NA
"1843","POVI",NA,NA,NA
"1844","DEDI11",NA,NA,NA
"1845","MOOD",NA,NA,NA
"1846","NALE",NA,NA,NA
"1847","EPPY4",NA,NA,NA
"1848","LULEL3",NA,NA,NA
"1849","ALPL2",NA,NA,NA
"1850","LUSEL2",NA,NA,NA
"1851","TRPR2",NA,NA,NA
"1852","SIBE4",NA,NA,NA
"1853","RUPA6",NA,NA,NA
"1854","LUSU5",NA,NA,NA
"1855","TRPO","Non-Woody","Forb/Herb","Annual"
"1856","CIAL","Non-Woody","Forb/Herb","Perennial"
"1857","GAAM2",NA,NA,NA
"1858","PHCO3",NA,NA,NA
"1859","PERY",NA,NA,NA
"1860","ARTH","Non-Woody","Forb/Herb","Annual"
"1861","PADI11",NA,NA,NA
"1862","SYFO2",NA,NA,NA
"1863","ARCH3",NA,NA,NA
"1864","AF243","Non-woody","Forb","Annual"
"1865","TRWO",NA,NA,NA
"1866","ALFI",NA,NA,NA
"1867","TROL",NA,NA,NA
"1868","CAQU2",NA,NA,NA
"1869","BASE4",NA,NA,NA
"1870","CAGL10",NA,NA,NA
"1871","TRDO",NA,NA,NA
"1872","STMI13",NA,NA,NA
"1873","EPILOPF",NA,NA,NA
"1874","ELEL4",NA,NA,NA
"1875","COCA13","Woody","Subshrub","Perennial"
"1876","MENTZAF",NA,NA,NA
"1877","RUMEXAF",NA,NA,NA
"1878","LATAP",NA,NA,NA
"1879","AF14","Non-woody","Forb","Annual"
"1880","FILAGAF",NA,NA,NA
"1881","GAILLPF",NA,NA,NA
"1882","SEDUMPF",NA,NA,NA
"1883","LINUMPF",NA,NA,NA
"1884","POTENPF",NA,NA,NA
"1885","ARTEMAF",NA,NA,NA
"1886","SYMPHSH",NA,NA,NA
"1887","SAXIFPF",NA,NA,NA
"1888","SILENPF",NA,NA,NA
"1889","ERYSIAF",NA,NA,NA
"1890","PG06","Non-woody","Graminoid","Perennial"
"1891","PVUMI",NA,NA,NA
"1892","AG05","Non-woody","Graminoid","Annual"
"1893","CONVOPF",NA,NA,NA
"1894","ANTENPCOPA3",NA,NA,NA
"1895","SAMBUSH",NA,NA,NA
"1896","LEPIDAF",NA,NA,NA
"1897","COMANPF",NA,NA,NA
"1898","HACKEAF",NA,NA,NA
"1899","CHORI2AF",NA,NA,NA
"1900","CRAF08",NA,NA,NA
"1901","DELPHDRVE2",NA,NA,NA
"1902","CHAMA15AF",NA,NA,NA
"1903","AF71","Non-woody","Forb","Annual"
"1904","LIDAD","Non-Woody","Forb/Herb","Perennial"
"1905","VIVI",NA,NA,NA
"1906","LATA",NA,NA,NA
"1907","ASSP4",NA,NA,NA
"1908","SOMI2",NA,NA,NA
"1909","HEPU6",NA,NA,NA
"1910","SAIN4","Non-Woody","Forb/Herb","Perennial"
"1911","MYMI2",NA,NA,NA
"1912","LILE3",NA,NA,NA
"1913","SCLA","Non-Woody","Forb/Herb","Perennial"
"1914","HECA7",NA,NA,NA
"1915","TARAX",NA,NA,NA
"1916","CAMAS",NA,NA,NA
"1917","MIGL",NA,NA,NA
"1918","LOTUS",NA,NA,NA
"1919","LAPU2","Non-Woody","Forb/Herb","Annual"
"1920","ARNU",NA,NA,NA
"1921","TORY","Woody","Shrub","Perennial"
"1922","CIRSI",NA,NA,NA
"1923","OLDO",NA,NA,NA
"1924","TRCA5",NA,NA,NA
"1925","LOUN",NA,NA,NA
"1926","PORE5",NA,NA,NA
"1927","SESE2",NA,NA,NA
"1928","CENU2",NA,NA,NA
"1929","ALGE",NA,NA,NA
"1930","DOYI","Non-Woody","Forb/Herb","Annual"
"1931","PSBR",NA,NA,NA
"1932","GNAPH",NA,NA,NA
"1933","POBI7",NA,NA,NA
"1934","COUN","Woody","Subshrub","Perennial"
"1935","SISYR",NA,NA,NA
"1936","GABO2",NA,NA,NA
"1937","ERGA","Non-Woody","Forb/Herb","Annual"
"1938","GNPA",NA,NA,NA
"1939","ARDR4",NA,NA,NA
"1940","MIMO3",NA,NA,NA
"1941","DEBU",NA,NA,NA
"1942","MEAR4","Non-Woody","Forb/Herb","Perennial"
"1943","CALEL",NA,NA,NA
"1944","GRNA",NA,NA,NA
"1945","VESE",NA,NA,NA
"1946","LASQ","Non-Woody","Forb/Herb","Annual"
"1947","SYSPS",NA,NA,NA
"1948","CEMU2","Non-Woody","Forb/Herb","Annual"
"1949","AF65","Non-woody","Forb","Annual"
"1950","CEEX","Non-Woody","Forb/Herb","Annual"
"1951","TAVU",NA,NA,NA
"1952","TYLA","Non-Woody","Forb/Herb","Perennial"
"1953","ERFIF",NA,NA,NA
"1954","SISP2",NA,NA,NA
"1955","SYSP",NA,NA,NA
"1956","XAST","Non-Woody","Forb/Herb","Annual"
"1957","PG08","Non-woody","Graminoid","Perennial"
"1958","MYAP",NA,NA,NA
"1959","PECE","Non-Woody","Forb/Herb","Perennial"
"1960","LUPUI2",NA,NA,NA
"1961","LOBI",NA,NA,NA
"1962","PF53","Non-woody","Forb","Perennial"
"1963","HODU","Woody","Shrub","Perennial"
"1964","CAMA17",NA,NA,NA
"1965","PF61","Non-woody","Forb","Perennial"
"1966","PF63","Non-woody","Forb","Perennial"
"1967","CABO7",NA,NA,NA
"1968","PF501","Non-woody","Forb","Perennial"
"1969","PF67","Non-woody","Forb","Perennial"
"1970","LEHA11",NA,NA,NA
"1971","LUSAS",NA,NA,NA
"1972","ARPU",NA,NA,NA
"1973","SPGR2",NA,NA,NA
"1974","PF11","Non-woody","Forb","Perennial"
"1975","LIGR",NA,NA,NA
"1976","CYCO4",NA,NA,NA
"1977","LORA",NA,NA,NA
"1978","CACO34",NA,NA,NA
"1979","CACL4",NA,NA,NA
"1980","MOPU3",NA,NA,NA
"1981","AF33","Non-woody","Forb","Annual"
"1982","POAR11",NA,NA,NA
"1983","CAAN14",NA,NA,NA
"1984","CISU",NA,NA,NA
"1985","MINU4",NA,NA,NA
"1986","ASIO",NA,NA,NA
"1987","PLCA5","Non-Woody","Forb/Herb","Annual"
"1988","ALSI2",NA,NA,NA
"1989","GITW",NA,NA,NA
"1990","PF227","Non-woody","Forb","Perennial"
"1991","LUSU10",NA,NA,NA
"1992","ERLAA",NA,NA,NA
"1993","ERST9",NA,NA,NA
"1994","CANU4",NA,NA,NA
"1995","ERFOC",NA,NA,NA
"1996","ERLAL3",NA,NA,NA
"1997","COLI",NA,NA,NA
"1998","PLMA3",NA,NA,NA
"1999","TRGY",NA,NA,NA
"2000","ERCE2",NA,NA,NA
"2001","ASLEL3",NA,NA,NA
"2002","ASCUC",NA,NA,NA
"2003","CAPA12","Non-Woody","Forb/Herb","Annual"
"2004","PHSC5",NA,NA,NA
"2005","BAHOH",NA,NA,NA
"2006","ERSP4",NA,NA,NA
"2007","SEINE",NA,NA,NA
"2008","ASLES",NA,NA,NA
"2009","CAFR","Non-Woody","Forb/Herb","Annual"
"2010","PHHOM",NA,NA,NA
"2011","CHWA2","Non-Woody","Forb/Herb","Annual"
"2012","PLHI3",NA,NA,NA
"2013","PHIN3",NA,NA,NA
"2014","PHTE",NA,NA,NA
"2015","PF3080","Non-woody","Forb","Perennial"
"2016","CACR11",NA,NA,NA
"2017","SH5003","Woody","Shrub","Perennial"
"2018","PF5015","Non-woody","Forb","Perennial"
"2019","PF210","Non-woody","Forb","Perennial"
"2020","PF3081","Non-woody","Forb","Perennial"
"2021","SH1005","Woody","Shrub","Perennial"
"2022","PF1025","Non-woody","Forb","Perennial"
"2023","FRALA",NA,NA,NA
"2024","PELE5",NA,NA,NA
"2025","PF228","Non-woody","Forb","Perennial"
"2026","PG2005","Non-woody","Graminoid","Perennial"
"2027","JUCA4","Non-Woody","Graminoid","Annual"
"2028","RUSA",NA,NA,NA
"2029","GRNE","Non-Woody","Forb/Herb","Annual"
"2030","ROCO3","Non-Woody","Forb/Herb","Perennial"
"2031","POGLN",NA,NA,NA
"2032","PG205","Non-woody","Graminoid","Perennial"
"2033","DRDE","Non-Woody","Forb/Herb","Perennial"
"2034","PG3020","Non-woody","Graminoid","Perennial"
"2035","PF3020","Non-woody","Forb","Perennial"
"2036","CRPT",NA,NA,NA
"2037","CLSI2",NA,NA,NA
"2038","VEPE2",NA,NA,NA
"2039","CAAR11",NA,NA,NA
"2040","ASWH",NA,NA,NA
"2041","SEHY2",NA,NA,NA
"2042","PEAT3",NA,NA,NA
"2043","POHE2",NA,NA,NA
"2044","RUVE2",NA,NA,NA
"2045","CREC",NA,NA,NA
"2046","LUNE",NA,NA,NA
"2047","LILEL2",NA,NA,NA
"2048","TALA2",NA,NA,NA
"2049","AF3022","Non-woody","Forb","Annual"
"2050","ARTEM",NA,NA,NA
"2051","PF1013","Non-woody","Forb","Perennial"
"2052","AF1004","Non-woody","Forb","Annual"
"2053","GRST3",NA,NA,NA
"2054","PF209","Non-woody","Forb","Perennial"
"2055","CAANA3",NA,NA,NA
"2056","PF402","Non-woody","Forb","Perennial"
"2057","AF206","Non-woody","Forb","Annual"
"2058","PF204","Non-woody","Forb","Perennial"
"2059","PF213","Non-woody","Forb","Perennial"
"2060","AF405","Non-woody","Forb","Annual"
"2061","PF403","Non-woody","Forb","Perennial"
"2062","PG401","Non-woody","Graminoid","Perennial"
"2063","ASBEW",NA,NA,NA
"2064","PF417","Non-woody","Forb","Perennial"
"2065","DOAL",NA,NA,NA
"2066","AF607","Non-woody","Forb","Annual"
"2067","PG601","Non-woody","Graminoid","Perennial"
"2068","AG603","Non-woody","Graminoid","Annual"
"2069","AF611","Non-woody","Forb","Annual"
"2070","SILO3","Non-Woody","Forb/Herb","Annual"
"2071","PF405","Non-woody","Forb","Perennial"
"2072","AF409","Non-woody","Forb","Annual"
"2073","SEINM",NA,NA,NA
"2074","CIOC",NA,NA,NA
"2075","VIBA2",NA,NA,NA
"2076","PF807","Non-woody","Forb","Perennial"
"2077","GASE2",NA,NA,NA
"2078","PF851","Non-woody","Forb","Perennial"
"2079","MIGRH",NA,NA,NA
"2080","LUMI3",NA,NA,NA
"2081","CANU17","Non-Woody","Forb/Herb","Perennial"
"2082","PEGR4",NA,NA,NA
"2083","CROCO2",NA,NA,NA
"2084","AF231","Non-woody","Forb","Annual"
"2085","LURI",NA,NA,NA
"2086","AF804","Non-woody","Forb","Annual"
"2087","PLSC2",NA,NA,NA
"2088","PF813","Non-woody","Forb","Perennial"
"2089","LUBR3",NA,NA,NA
"2090","TRLO",NA,NA,NA
"2091","PSJA2","Non-Woody","Forb/Herb","Perennial"
"2092","PF410","Non-woody","Forb","Perennial"
"2093","ERIN7",NA,NA,NA
"2094","CAHI9",NA,NA,NA
"2095","PLKI",NA,NA,NA
"2096","LAGL3","Non-Woody","Forb/Herb","Annual"
"2097","CRBA2",NA,NA,NA
"2098","GADE2",NA,NA,NA
"2099","TRVA",NA,NA,NA
"2100","BRCA3",NA,NA,NA
"2101","CHHU2","Woody","Subshrub","Perennial"
"2102","CAPR14",NA,NA,NA
"2103","PF850","Non-woody","Forb","Perennial"
"2104","PF805","Non-woody","Forb","Perennial"
"2105","MOGL",NA,NA,NA
"2106","ERMIL2",NA,NA,NA
"2107","PORI3",NA,NA,NA
"2108","PEFR3",NA,NA,NA
"2109","CANU2",NA,NA,NA
"2110","CHMA",NA,NA,NA
"2111","ARKIC",NA,NA,NA
"2112","AF236","Non-woody","Forb","Annual"
"2113","LECA5",NA,NA,NA
"2114","CABOA",NA,NA,NA
"2115","PHGL2",NA,NA,NA
"2116","ALBI2",NA,NA,NA
"2117","SH1006","Woody","Shrub","Perennial"
"2118","PESP2",NA,NA,NA
"2119","PF3502","Non-woody","Forb","Perennial"
"2120","CAPU15",NA,NA,NA
"2121","AF1122","Non-woody","Forb","Annual"
"2122","PF1122","Non-woody","Forb","Perennial"
"2123","LUARA3",NA,NA,NA
"2124","AF3501","Non-woody","Forb","Annual"
"2125","GYNU",NA,NA,NA
"2126","SH1001","Woody","Shrub","Perennial"
"2127","PF1003","Non-woody","Forb","Perennial"
"2128","CRPR3",NA,NA,NA
"2129","PF1001","Non-woody","Forb","Perennial"
"2130","PF1002","Non-woody","Forb","Perennial"
"2131","PF1004","Non-woody","Forb","Perennial"
"2132","LEVI3",NA,NA,NA
"2133","DEST",NA,NA,NA
"2134","VIVA",NA,NA,NA
"2135","PF6101","Non-woody","Forb","Perennial"
"2136","PF3046","Non-woody","Forb","Perennial"
"2137","PF4008","Non-woody","Forb","Perennial"
"2138","PG4001","Non-woody","Graminoid","Perennial"
"2139","POFL3",NA,NA,NA
"2140","PF4009","Non-woody","Forb","Perennial"
"2141","AF4005","Non-woody","Forb","Annual"
"2142","BROR2","Non-Woody","Graminoid","Perennial"
"2143","AF2021","Non-woody","Forb","Annual"
"2144","AF2020","Non-woody","Forb","Annual"
"2145","CRMI",NA,NA,NA
"2146","PF3047","Non-woody","Forb","Perennial"
"2147","AF3027","Non-woody","Forb","Annual"
"2148","COMA3",NA,NA,NA
"2149","AF2009","Non-woody","Forb","Annual"
"2150","LUARM4",NA,NA,NA
"2151","GESI3","Non-Woody","Forb/Herb","Annual"
"2152","AF1018","Non-woody","Forb","Annual"
"2153","AF1017","Non-woody","Forb","Annual"
"2154","CYOF","Non-Woody","Forb/Herb","Annual"
"2155","DIFU2",NA,NA,NA
"2156","CRSC2",NA,NA,NA
"2157","RAAL",NA,NA,NA
"2158","NEME",NA,NA,NA
"2159","PF3040","Non-woody","Forb","Perennial"
"2160","HOPR4","Non-Woody","Forb/Herb","Annual"
"2161","POCA15","Non-Woody","Forb/Herb","Annual"
"2162","PF3101","Non-woody","Forb","Perennial"
"2163","PSOR",NA,NA,NA
"2164","NAINP3",NA,NA,NA
"2165","MIBR3",NA,NA,NA
"2166","TROW",NA,NA,NA
"2167","PF3501","Non-woody","Forb","Perennial"
"2168","SH3501","Woody","Shrub","Perennial"
"2169","AG3501","Non-woody","Graminoid","Annual"
"2170","VEBI2",NA,NA,NA
"2171","PF1500","Non-woody","Forb","Perennial"
"2172","POARC",NA,NA,NA
"2173","MODI2",NA,NA,NA
"2174","PF4002","Non-woody","Forb","Perennial"
"2175","GYPA2",NA,NA,NA
"2176","LOPI",NA,NA,NA
"2177","ERPH",NA,NA,NA
"2178","CLEX2",NA,NA,NA
"2179","BOSU",NA,NA,NA
"2180","ALLI",NA,NA,NA
"2181","CELE",NA,NA,NA
"2182","FRGL",NA,NA,NA
"2183","BOPI","Non-Woody","Forb/Herb","Perennial"
"2184","ERPU",NA,NA,NA
"2185","PYRR",NA,NA,NA
"2186","HYCA",NA,NA,NA
"2187","PENSTEMO.",NA,NA,NA
"2188","SCGA",NA,NA,NA
"2189","ANST",NA,NA,NA
"2190","CLEX",NA,NA,NA
"2191","LONU",NA,NA,NA
"2192","OXSE",NA,NA,NA
"2193","ALPR",NA,NA,NA
"2194","PF001","Non-woody","Forb","Perennial"
"2195","PF4003","Non-woody","Forb","Perennial"
"2196","AF4003","Non-woody","Forb","Annual"
"2197","LOPE3",NA,NA,NA
"2198","AF004","Non-woody","Forb","Annual"
"2199","AF003","Non-woody","Forb","Annual"
"2200","AF2005","Non-woody","Forb","Annual"
"2201","PF4001","Non-woody","Forb","Perennial"
"2202","PF2001","Non-woody","Forb","Perennial"
"2203","ELTR7","Non-Woody","Graminoid","Perennial"
"2204","HECU2",NA,NA,NA
"2205","SAAN2","Non-Woody","Forb/Herb","Annual"
"2206","AF801","Non-woody","Forb","Annual"
"2207","ERCOC8",NA,NA,NA
"2208","LOTRT",NA,NA,NA
"2209","ASATO",NA,NA,NA
"2210","PF628","Non-woody","Forb","Perennial"
"2211","DEPII",NA,NA,NA
"2212","PF601","Non-woody","Forb","Perennial"
"2213","PF603","Non-woody","Forb","Perennial"
"2214","TRGRH",NA,NA,NA
"2215","AF606","Non-woody","Forb","Annual"
"2216","AF603","Non-woody","Forb","Annual"
"2217","AF605","Non-woody","Forb","Annual"
"2218","AF613","Non-woody","Forb","Annual"
"2219","AF615","Non-woody","Forb","Annual"
"2220","AF626","Non-woody","Forb","Annual"
"2221","DEPIF",NA,NA,NA
"2222","AF618","Non-woody","Forb","Annual"
"2223","LAPA5",NA,NA,NA
"2224","PF638","Non-woody","Forb","Perennial"
"2225","PF643","Non-woody","Forb","Perennial"
"2226","SH610","Woody","Shrub","Perennial"
"2227","CHMA15",NA,NA,NA
"2228","PG607","Non-woody","Graminoid","Perennial"
"2229","SH612","Woody","Shrub","Perennial"
"2230","PG608","Non-woody","Graminoid","Perennial"
"2231","CANU3",NA,NA,NA
"2232","PF640","Non-woody","Forb","Perennial"
"2233","PF641","Non-woody","Forb","Perennial"
"2234","PF652","Non-woody","Forb","Perennial"
"2235","PF651","Non-woody","Forb","Perennial"
"2236","PF653","Non-woody","Forb","Perennial"
"2237","ERMIM2",NA,NA,NA
"2238","ARCOC4",NA,NA,NA
"2239","PF654","Non-woody","Forb","Perennial"
"2240","SH618","Woody","Shrub","Perennial"
"2241","PHHAC3",NA,NA,NA
"2242","PF662","Non-woody","Forb","Perennial"
"2243","PF659","Non-woody","Forb","Perennial"
"2244","PF661","Non-woody","Forb","Perennial"
"2245","SH619","Woody","Shrub","Perennial"
"2246","PF663","Non-woody","Forb","Perennial"
"2247","SATR","Woody","Shrub","Perennial"
"2248","AF413","Non-woody","Forb","Annual"
"2249","STEX",NA,NA,NA
"2250","PF413","Non-woody","Forb","Perennial"
"2251","ATFI","Non-Woody","Forb/Herb","Perennial"
"2252","ERMA2",NA,NA,NA
"2253","STPA4",NA,NA,NA
"2254","AF42","Non-woody","Forb","Annual"
"2255","STLO",NA,NA,NA
"2256","PG219","Non-woody","Graminoid","Perennial"
"2257","RUAC2",NA,NA,NA
"2258","LUAR2",NA,NA,NA
"2259","AF40","Non-woody","Forb","Annual"
"2260","AF39","Non-woody","Forb","Annual"
"2261","PG17","Non-woody","Graminoid","Perennial"
"2262","GLST","Non-Woody","Graminoid","Perennial"
"2263","AF36","Non-woody","Forb","Annual"
"2264","AF32","Non-woody","Forb","Annual"
"2265","ERELE",NA,NA,NA
"2266","RUBI6","Non-Woody","Forb/Herb","Perennial"
"2267","SH07","Woody","Shrub","Perennial"
"2268","GATR2",NA,NA,NA
"2269","VAME","Woody","Shrub","Perennial"
"2270","VIOR",NA,NA,NA
"2271","PRHO2","Non-Woody","Forb/Herb","Perennial"
"2272","ACGL","Woody","Tree","Perennial"
"2273","BRSQ2",NA,NA,NA
"2274","CARU",NA,NA,NA
"2275","CHAN9",NA,NA,NA
"2276","HODI",NA,NA,NA
"2277","MAAQ2",NA,NA,NA
"2278","PHMA5",NA,NA,NA
"2279","PSME",NA,NA,NA
"2280","RONU",NA,NA,NA
"2281","ACGLD4",NA,NA,NA
"2282","SPBE2",NA,NA,NA
"2283","SYAL",NA,NA,NA
"2284","PAMY",NA,NA,NA
"2285","PG14",NA,NA,NA
"2286","SASC",NA,NA,NA
"2287","EUCO36",NA,NA,NA
"2288","AMAL2",NA,NA,NA
"2289","SANI4",NA,NA,NA
"2290","ARUV",NA,NA,NA
"2291","PHPR3",NA,NA,NA
"2292","MARE11",NA,NA,NA
"2293","ROGY",NA,NA,NA
"2294","HYPE",NA,NA,NA
"2295","CEVE",NA,NA,NA
"2296","PF78",NA,NA,NA
"2297","PF77",NA,NA,NA
"2298","CEBE2",NA,NA,NA
"2299","POGR8",NA,NA,NA
"2300","ANAR3",NA,NA,NA
"2301","AF24","Non-woody","Forb","Annual"
"2302","PF54","Non-woody","Forb","Perennial"
"2303","BARO2",NA,NA,NA
"2304","ASRE6",NA,NA,NA
"2305","HECO26",NA,NA,NA
"2306","VUBR",NA,NA,NA
"2307","COAR4",NA,NA,NA
"2308","LUARS2",NA,NA,NA
"2309","PF58","Non-woody","Forb","Perennial"
"2310","PF192","Non-woody","Forb","Perennial"
"2311","PF194","Non-woody","Forb","Perennial"
"2312","AF134","Non-woody","Forb","Annual"
"2313","AGSC5","Non-Woody","Graminoid","Perennial"
"2314","PF195","Non-woody","Forb","Perennial"
"2315","PF091","Non-woody","Forb","Perennial"
"2316","CEMA9",NA,NA,NA
"2317","AF135","Non-woody","Forb","Annual"
"2318","DIAR","Non-Woody","Forb/Herb","Annual"
"2319","CESTM",NA,NA,NA
"2320","ARAB3","Non-Woody","Forb/Herb","Perennial"
"2321","CESA","Woody","Shrub","Perennial"
"2322","SOLID",NA,NA,NA
"2323","FRVE","Non-Woody","Forb/Herb","Perennial"
"2324","LOCI3","Non-Woody","Forb/Herb","Perennial"
"2325","AF22","Non-woody","Forb","Annual"
"2326","AF66","Non-woody","Forb","Annual"
"2327","ARRI2",NA,NA,NA
"2328","CYFR2",NA,NA,NA
"2329","PF69",NA,NA,NA
"2330","MAEL",NA,NA,NA
"2331","SEST2",NA,NA,NA
"2332","AF20","Non-woody","Forb","Annual"
"2333","ILRI",NA,NA,NA
"2334","PODO3","Non-Woody","Forb/Herb","Annual"
"2335","PHDO4",NA,NA,NA
"2336","AF11","Non-woody","Forb","Annual"
"2337","LEAU2","Non-Woody","Forb/Herb","Perennial"
"2338","RHGL","Woody","Shrub","Perennial"
"2339","RUAC3",NA,NA,NA
"2340","CECY2",NA,NA,NA
"2341","ARCA3","Woody","Subshrub","Perennial"
"2342","SH06","Woody","Shrub","Perennial"
"2343","ARPUL","Non-Woody","Graminoid","Perennial"
"2344","CACU7",NA,NA,NA
"2345","HEUND",NA,NA,NA
"2346","MAOR3","Non-Woody","Forb/Herb","Perennial"
"2347","ASRE5",NA,NA,NA
"2348","LICO","Non-Woody","Forb/Herb","Perennial"
"2349","ARLA8",NA,NA,NA
"2350","ANPU",NA,NA,NA
"2351","HIGR",NA,NA,NA
"2352","AF47","Non-woody","Forb","Annual"
"2353","LONU3",NA,NA,NA
"2354","STLO2",NA,NA,NA
